ID,ID game,ID player,ID team,total time on ice,throws by,a shot on target,accurate transmission,blocked throws,skill,amplua
695,6757,7016,404,462,0,0,0,0,0.0,9.0
696,6757,1157,404,1102,3,2,0,0,0.0,9.0
697,6757,2431,404,733,3,1,0,0,0.0,10.0
698,6757,6202,404,1052,3,2,0,0,0.0,10.0
699,6757,1537,404,990,2,4,0,1,0.0,10.0
700,6757,7008,404,642,0,1,0,0,0.0,10.0
701,6757,7592,404,677,0,2,0,0,0.0,10.0
702,6757,120,404,1197,3,1,2,0,0.0,10.0
703,6757,7061,404,1029,5,5,0,1,0.0,10.0
704,6757,7004,404,66,0,0,0,0,0.0,9.0
705,6757,7011,404,621,0,1,0,0,0.0,10.0
706,6757,7020,404,659,0,1,0,1,0.0,10.0
707,6757,3377,403,1025,5,8,0,0,0.0,10.0
755,6785,5123,138,0,0,0,0,0,0.0,8.0
756,6785,4279,138,1219,1,2,0,1,0.0,9.0
757,6785,5215,138,1341,3,1,0,0,0.0,9.0
758,6785,6333,138,1250,0,3,0,0,10.0,9.0
759,6785,6146,138,1406,3,2,0,1,0.0,10.0
760,6785,1024,138,1433,1,2,0,0,0.0,10.0
761,6785,6508,138,1207,3,2,0,1,0.0,10.0
762,6785,6519,138,1376,1,4,0,0,0.0,9.0
763,6785,6512,138,1341,2,4,0,1,0.0,10.0
764,6785,288,138,1283,4,3,0,0,0.0,10.0
765,6785,7204,138,1208,2,7,0,1,0.0,10.0
766,6785,5516,104,0,0,0,0,0,0.0,8.0
767,6785,2215,104,1350,0,2,0,2,0.0,10.0
768,6785,4232,104,1430,4,0,0,1,0.0,9.0
769,6785,7190,104,1260,2,0,0,0,0.0,10.0
770,6785,4445,104,1170,0,2,0,0,0.0,9.0
771,6785,570,104,810,1,2,0,0,0.0,10.0
772,6785,2225,104,959,2,2,0,0,0.0,9.0
773,6785,4561,104,973,0,3,0,0,0.0,10.0
774,6785,2231,104,760,2,1,0,0,0.0,10.0
775,6785,2227,104,860,2,5,0,0,0.0,10.0
776,6785,4859,104,722,0,1,0,0,0.0,10.0
777,6785,2221,104,745,0,0,0,0,0.0,10.0
778,6785,3722,104,809,0,4,0,0,0.0,10.0
779,6785,5612,104,1046,1,6,0,0,0.0,10.0
875,444,509,1,0,0,0,0,0,7.0,8.0
876,444,571,1,0,0,0,0,0,0.0,9.0
877,444,66,1,0,0,0,0,0,0.0,9.0
878,444,1100,1,0,0,0,0,0,0.0,9.0
879,444,1099,1,0,0,0,0,0,3.0,10.0
880,444,79,1,0,0,0,0,0,0.0,9.0
881,444,295,1,0,0,0,0,0,0.0,10.0
882,444,843,1,0,0,0,0,0,0.0,9.0
